Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Point University,934,500,238,54,48,27400,27400,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1439,1291,148,1439,0,1291,148,95,89,56,56,11,64,78,89,89,6
Clark Atlanta University,5873,3336,781,57,23,35471,35471,Georgia,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Doctoral/Research Universities,3458,3044,414,2629,829,2514,115,98,83,69,69,13,18,44,89,88,13
Berry College,3901,2353,672,60,29,43834,43834,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Small,Baccalaureate Colleges--Arts & Sciences,2223,2122,101,2141,82,2107,34,100,100,31,31,10,71,100,61,61,12
Brenau University,2160,1691,206,78,12,38528,38528,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),2854,1528,1326,1700,1154,1074,626,97,97,57,57,20,85,96,80,80,11
Brewton-Parker College,475,244,150,51,61,24786,24786,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Diverse Fields,693,503,190,693,0,503,190,100,100,57,57,55,99,93,81,81,4
Clayton  State University,2046,976,545,48,56,18830,28592,Georgia,"Public, 4-year or above",Public,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,7261,4092,3169,6893,368,3939,2954,94,82,70,70,1,38,8,76,76,3
Columbus State University,3170,1757,1045,55,59,19620,29662,Georgia,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),8156,5382,2774,7013,1143,4979,2034,93,82,52,52,1,51,13,65,64,4
Covenant College,1129,644,268,57,42,40330,40330,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1173,1102,71,1104,69,1050,54,100,98,32,32,9,26,96,62,62,3
Emmanuel College,876,419,156,48,37,26400,26400,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,806,702,104,806,0,702,104,100,100,51,51,2,67,94,70,70,1
Emory University,17475,4602,1363,26,30,59908,59908,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Research Universities (very high research activity),14513,13181,1332,7836,6677,7676,160,53,47,19,19,6,18,45,35,35,6
Fort Valley State University,4076,1334,624,33,47,20725,32927,Georgia,"Public, 4-year or above",Public,Yes,1,Town: Fringe,Baccalaureate Colleges--Diverse Fields,3180,2695,485,2858,322,2570,288,97,88,83,83,13,25,7,88,88,1
Georgia Institute of Technology-Main Campus,14645,8045,3044,55,38,23384,42688,Georgia,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),21471,18743,2728,14558,6913,13291,1267,72,67,14,14,1,50,28,31,30,6
Georgia Southwestern State University,1245,847,376,68,44,19063,28825,Georgia,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (smaller programs),2806,1946,860,2667,139,1870,797,91,82,50,50,18,60,27,60,59,4
Georgia College and State University,4051,2754,1392,68,51,23752,41652,Georgia,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),6551,5600,951,5729,822,5264,465,95,91,19,19,1,88,6,45,44,4
Georgia Southern University,10525,5473,3604,52,66,22269,32335,Georgia,"Public, 4-year or above",Public,No,0,Town: Remote,Doctoral/Research Universities,20517,16767,3750,17904,2613,15762,2142,89,77,36,36,9,61,8,63,63,7
Georgia State University,13890,7592,3460,55,46,24448,39016,Georgia,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),32165,23677,8488,24868,7297,18410,6458,91,84,56,56,10,69,3,57,57,3
University of Georgia,18458,10352,4936,56,48,22064,40274,Georgia,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),34536,31364,3172,26278,8258,24746,1532,94,92,21,21,2,86,18,40,40,3
Kennesaw State University,9471,5355,3194,57,60,24659,34739,Georgia,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),24629,17690,6939,22621,2008,16869,5752,90,81,36,36,2,68,4,51,51,3
LaGrange College,1648,962,271,58,28,40288,40288,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,940,858,82,856,84,786,70,99,99,46,46,15,77,99,79,79,13
Life University,809,603,212,75,35,28077,28077,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,2730,2342,388,765,1965,556,209,92,79,63,63,58,26,29,74,74,0
Mercer University,3864,2666,728,69,27,48212,48212,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),8351,6435,1916,4419,3932,3659,760,100,99,33,33,9,79,99,61,61,8
Morehouse College,2690,1798,488,67,27,47345,47345,Georgia,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Arts & Sciences,2170,2006,164,2170,0,2006,164,94,84,52,51,22,29,65,75,75,6
Oglethorpe University,4403,2455,282,56,11,46430,46430,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1100,996,104,1091,9,992,99,97,97,38,38,6,52,97,81,81,8
Paine College,2771,1213,268,44,22,23850,23850,Georgia,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Midsize,Baccalaureate Colleges--Diverse Fields,924,838,86,924,0,838,86,99,97,84,84,37,64,41,90,90,1
Piedmont College,850,520,255,61,49,34090,34090,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (larger programs),2368,1501,867,1281,1087,1131,150,99,99,43,43,5,82,98,65,65,4
Reinhardt University,1111,571,396,51,69,32794,32794,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1309,1225,84,1217,92,1141,76,92,89,43,43,10,89,89,59,59,9
Savannah State University,2922,2425,1301,83,54,16174,25935,Georgia,"Public, 4-year or above",Public,Yes,1,City: Midsize,Baccalaureate Colleges--Arts & Sciences,4772,4221,551,4602,170,4098,504,99,88,82,80,12,23,10,92,92,3
Shorter University,1597,1087,309,68,28,33230,33230,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1629,1428,201,1544,85,1384,160,99,98,45,45,8,80,96,66,66,4
Spelman College,6081,2312,523,38,23,42879,42879,Georgia,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Arts & Sciences,2129,2061,68,2129,0,2061,68,90,70,47,46,12,24,48,70,68,11
Southern Polytechnic State University,1689,1317,797,78,61,18862,29890,Georgia,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (medium programs),6549,4362,2187,5732,817,4142,1590,91,83,39,39,1,70,1,57,57,3
Thomas University,153,105,66,69,63,24860,24860,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1090,588,502,886,204,506,380,56,56,56,56,14,56,34,52,52,4
Toccoa Falls College,1253,619,178,49,29,31792,31792,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,870,777,93,870,0,777,93,100,100,61,61,2,63,98,75,75,10
Truett-McConnell College,470,379,204,81,54,28410,28410,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate/Associate's Colleges,1606,691,915,1606,0,691,915,100,100,47,45,2,89,99,68,67,13
Valdosta State University,5701,3148,1734,55,55,20746,31671,Georgia,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),11885,8964,2921,9718,2167,8277,1441,92,80,47,47,7,58,4,67,67,6
Wesleyan College,779,338,117,43,35,32375,32375,Georgia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,700,517,183,651,49,468,183,100,100,52,49,30,63,100,58,57,8
University of West Georgia,7266,3913,2214,54,57,21299,31365,Georgia,"Public, 4-year or above",Public,No,0,Town: Fringe,Master's Colleges and Universities (larger programs),11929,9067,2862,9959,1970,8369,1590,94,81,51,51,6,57,8,69,68,3
Chaminade University of Honolulu,914,764,267,84,35,35309,35309,Hawaii,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),2752,2124,628,2036,716,1644,392,100,99,42,40,37,0,98,84,84,5
University of Hawaii at Hilo,1633,1228,461,75,38,17326,29086,Hawaii,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate Colleges--Arts & Sciences,4043,3220,823,3457,586,2766,691,85,70,45,45,1,13,52,49,48,5
University of Hawaii at Manoa,6901,5527,1981,80,36,22996,40564,Hawaii,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),20006,14803,5203,14499,5507,12064,2435,79,67,28,28,6,7,61,38,37,4
Hawaii Pacific University,4207,2697,591,64,22,36590,36590,Hawaii,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),6736,4359,2377,5582,1154,3719,1863,95,91,38,38,15,0,63,46,46,3
Boise State University,7832,6082,2205,78,36,20944,33544,Idaho,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),21981,13264,8717,19026,2955,12452,6574,80,71,35,35,3,51,35,50,49,3
University of Idaho,7455,4894,1643,66,34,19598,32674,Idaho,"Public, 4-year or above",Public,No,0,Rural: Fringe,Research Universities (high research activity),12024,9387,2637,9540,2484,8011,1529,91,87,38,38,20,62,65,53,53,0
The College of Idaho,1116,1010,292,91,29,35456,35456,Idaho,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Arts & Sciences,1122,1070,52,1095,27,1055,40,99,99,42,42,36,70,98,61,61,5
Lewis-Clark State College,861,859,475,100,55,17426,27736,Idaho,"Public, 4-year or above",Public,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,4304,2443,1861,4304,0,2443,1861,97,88,54,54,5,41,63,65,65,3
Northwest Nazarene University,1227,757,261,62,34,36550,36550,Idaho,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Master's Colleges and Universities (larger programs),2246,1692,554,1488,758,1136,352,100,100,40,40,31,42,100,74,73,8
Brigham Young University-Idaho,6690,6665,3448,100,52,11398,11398,Idaho,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,27692,14376,13316,27692,0,14376,13316,71,64,26,26,0,13,51,27,27,1
Augustana College,5831,3421,627,59,18,47137,47137,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,2524,2509,15,2524,0,2509,15,99,98,24,24,20,27,98,66,65,8
Aurora University,2536,1926,646,76,34,33228,33228,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),4946,3342,1604,3246,1700,2852,394,100,100,43,43,11,44,100,77,77,6
Blackburn College,528,359,116,68,32,26616,26616,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,543,523,20,543,0,523,20,99,97,59,59,20,56,96,87,87,4
Bradley University,8969,6004,1085,67,18,42090,42090,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),5430,4912,518,4825,605,4618,207,99,98,23,23,3,30,97,74,74,7
Chicago State University,5219,1495,276,29,18,23202,29594,Illinois,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),5701,3590,2111,4340,1361,2852,1488,97,91,86,85,5,65,12,84,84,0
University of Chicago,30304,2670,1426,9,53,64988,64988,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),15048,12848,2200,5703,9345,5630,73,67,63,12,12,7,3,63,26,25,2
Columbia College-Chicago,8005,7247,2161,91,30,40677,40677,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),10142,9066,1076,9671,471,8720,951,79,65,39,39,1,24,48,70,69,7
Concordia University-Chicago,3692,2009,376,54,19,38862,38862,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),5286,1684,3602,1604,3682,1489,115,100,100,52,52,8,47,100,81,81,7
DePaul University,19957,11948,2425,60,20,49367,49367,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,24414,18706,5708,16420,7994,13594,2826,95,94,29,28,3,28,94,58,57,5
Eastern Illinois University,7881,4879,1333,62,27,25138,42118,Illinois,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),9775,8013,1762,8347,1428,7327,1020,93,85,42,41,3,43,57,73,73,7
Elmhurst College,2702,1940,506,72,26,46000,46000,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),3210,2782,428,2900,310,2736,164,89,88,35,35,35,36,88,64,64,4
Eureka College,960,651,138,68,21,30900,30900,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,692,644,48,692,0,644,48,100,100,43,43,21,53,100,87,87,19
Greenville College,1723,1132,277,66,24,34641,34641,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1368,1129,239,1129,239,1090,39,98,98,38,38,23,27,97,77,77,10
University of Illinois at Chicago,14603,10427,3104,71,30,29320,41710,Illinois,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),28038,23239,4799,16671,11367,15402,1269,82,67,54,54,2,54,65,44,42,4
Benedictine University,2108,1465,635,69,43,37636,37636,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,6318,3588,2730,3828,2490,3056,772,96,95,44,44,20,43,94,70,70,3
University of Illinois at Urbana-Champaign,33203,20716,7329,62,35,29086,43468,Illinois,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),44942,41118,3824,32695,12247,31516,1179,65,46,21,21,9,25,42,42,41,10
Illinois Wesleyan University,3556,2076,529,58,25,50352,50352,Illinois,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,2009,2001,8,2009,0,2001,8,99,98,22,22,21,25,98,67,67,21
